image_name,species,file_path,image_path,blurry_image,humans_present,other_taxa,niqe_score
Bellis_perennis_45972.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_45972.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_45972.jpg,No,No,No,3.969302040647559
Bellis_perennis_66939.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_66939.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_66939.jpg,No,No,No,2.855995546878926
Bellis_perennis_43031.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_43031.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_43031.jpg,No,No,No,3.7836274828688814
Bellis_perennis_9505.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_9505.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_9505.jpg,No,No,No,4.444926229596613
Bellis_perennis_28510.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_28510.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_28510.jpg,No,No,No,3.7120586085866
Bellis_perennis_6861.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_6861.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_6861.jpg,No,No,No,4.315316421588797
Bellis_perennis_28354.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_28354.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_28354.jpg,No,No,No,3.685554309948689
Bellis_perennis_22009.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_22009.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_22009.jpg,No,No,No,2.5354695924400192
Bellis_perennis_45777.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_45777.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_45777.jpg,No,No,No,3.4746594568004263
Bellis_perennis_51657.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_51657.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_51657.jpg,No,No,No,4.5882770588783925
Bellis_perennis_33265.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_33265.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_33265.jpg,No,No,No,5.31930857884722
Bellis_perennis_48390.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_48390.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_48390.jpg,No,No,No,3.627906334496138
Bellis_perennis_1083.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_1083.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_1083.jpg,No,No,No,3.45172440780179
Bellis_perennis_53373.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_53373.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_53373.jpg,No,No,No,3.973879376338285
Bellis_perennis_40247.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_40247.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_40247.jpg,No,No,No,4.258870203381837
Bellis_perennis_1023.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_1023.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_1023.jpg,No,No,No,3.259506228138884
Bellis_perennis_2298.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_2298.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_2298.jpg,No,No,No,4.584136916451295
Bellis_perennis_12684.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_12684.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_12684.jpg,No,No,No,3.507072298015583
Bellis_perennis_69977.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_69977.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_69977.jpg,No,No,No,3.2082550329995256
Bellis_perennis_29518.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_456\Bellis_perennis\Bellis_perennis_29518.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_29518.jpg,No,No,No,3.973488893582815
