image_name,species,file_path,image_path,blurry_image,humans_present,other_taxa,niqe_score
Bellis_perennis_18841.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_18841.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_18841.jpg,No,Yes,No,4.418546834260993
Bellis_perennis_17574.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_17574.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_17574.jpg,No,Yes,No,4.386120869285517
Bellis_perennis_7615.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_7615.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_7615.jpg,No,Yes,No,3.005494804240169
Bellis_perennis_46086.jpg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_46086.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_46086.jpg,No,Yes,No,5.935744340308244
Bellis_perennis_71384.jpeg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_71384.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_71384.jpeg,No,Yes,No,2.957884868961646
Bellis_perennis_83621.jpeg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_83621.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_83621.jpeg,No,Yes,No,4.393543293501849
Bellis_perennis_53712.jpeg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_53712.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_53712.jpeg,No,Yes,No,4.456282746173925
Bellis_perennis_76675.jpeg,Bellis perennis,E:\iNaturalist	est_images_200\seed_42\Bellis_perennis\Bellis_perennis_76675.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Bellis_perennis/Bellis_perennis_76675.jpeg,No,Yes,No,4.379802152920817
Leucanthemum_vulgare_109887.jpg,Leucanthemum vulgare,E:\iNaturalist	est_images_200\seed_42\Leucanthemum_vulgare\Leucanthemum_vulgare_109887.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Leucanthemum_vulgare/Leucanthemum_vulgare_109887.jpg,No,Yes,No,3.350864863513303
Leucanthemum_vulgare_103448.jpg,Leucanthemum vulgare,E:\iNaturalist	est_images_200\seed_42\Leucanthemum_vulgare\Leucanthemum_vulgare_103448.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Leucanthemum_vulgare/Leucanthemum_vulgare_103448.jpg,No,Yes,No,5.356795552809569
Leucanthemum_vulgare_94913.jpg,Leucanthemum vulgare,E:\iNaturalist	est_images_200\seed_42\Leucanthemum_vulgare\Leucanthemum_vulgare_94913.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_42/Leucanthemum_vulgare/Leucanthemum_vulgare_94913.jpg,No,Yes,No,4.54805546421778
