image_name,species,file_path,image_path,blurry_image,humans_present,other_taxa,niqe_score
Bellis_perennis_1642.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_1642.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_1642.jpg,No,Yes,No,3.665299653084183
Bellis_perennis_1131.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_1131.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_1131.jpg,No,Yes,No,4.121404367953134
Bellis_perennis_58866.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_58866.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_58866.jpg,No,Yes,No,4.048737617834688
Bellis_perennis_26044.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_26044.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_26044.jpg,No,Yes,No,4.59586616827602
Bellis_perennis_30761.jpg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_30761.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_30761.jpg,Yes,Yes,No,5.019723428019704
Bellis_perennis_18458.jpeg,Bellis perennis,E:\iNaturalist\test_images_200\seed_456\Bellis_perennis\Bellis_perennis_18458.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Bellis_perennis/Bellis_perennis_18458.jpeg,No,Yes,No,2.812742834145454
Leucanthemum_vulgare_89177.jpg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_89177.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_89177.jpg,No,Yes,No,3.588920186664169
Leucanthemum_vulgare_108871.jpg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_108871.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_108871.jpg,No,Yes,Yes,2.8630444507931827
Leucanthemum_vulgare_109337.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_109337.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_109337.jpeg,No,Yes,No,3.7388580584617617
Leucanthemum_vulgare_107470.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_107470.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_107470.jpeg,No,Yes,Yes,4.115139065556221
Leucanthemum_vulgare_106939.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_106939.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_106939.jpeg,No,Yes,No,4.6660443225775605
Leucanthemum_vulgare_101490.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_101490.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_101490.jpeg,No,Yes,No,2.577612285656706
Leucanthemum_vulgare_94266.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_94266.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_94266.jpeg,No,Yes,No,2.872028148009405
Leucanthemum_vulgare_96791.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_96791.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_96791.jpeg,No,Yes,No,3.3237130946395435
Leucanthemum_vulgare_101248.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_101248.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_101248.jpeg,No,Yes,No,4.790660789392903
Leucanthemum_vulgare_90143.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_90143.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_90143.jpeg,No,Yes,Yes,4.112828969818948
Leucanthemum_vulgare_94608.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_94608.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_94608.jpeg,No,Yes,Yes,2.7006840131991523
Leucanthemum_vulgare_91334.jpeg,Leucanthemum vulgare,E:\iNaturalist\test_images_200\seed_456\Leucanthemum_vulgare\Leucanthemum_vulgare_91334.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Leucanthemum_vulgare/Leucanthemum_vulgare_91334.jpeg,No,Yes,No,3.1781340191825542
Matricaria_chamomilla_114125.jpg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_114125.jpg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_114125.jpg,No,Yes,No,3.4897783945117378
Matricaria_chamomilla_113565.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_113565.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_113565.jpeg,No,Yes,No,5.204585936806983
Matricaria_chamomilla_113033.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_113033.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_113033.jpeg,No,Yes,No,3.61720450385315
Matricaria_chamomilla_114457.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_114457.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_114457.jpeg,No,Yes,No,3.2581321078699657
Matricaria_chamomilla_113707.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_113707.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_113707.jpeg,No,Yes,No,3.685631553203305
Matricaria_chamomilla_113681.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_113681.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_113681.jpeg,No,Yes,No,3.0386000254632504
Matricaria_chamomilla_114444.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_114444.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_114444.jpeg,No,Yes,No,4.936816312836864
Matricaria_chamomilla_114070.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_114070.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_114070.jpeg,No,Yes,No,4.551088363852528
Matricaria_chamomilla_112668.jpeg,Matricaria chamomilla,E:\iNaturalist\test_images_200\seed_456\Matricaria_chamomilla\Matricaria_chamomilla_112668.jpeg,/kaggle/input/inaturalist-flower-images/test_images_200/seed_456/Matricaria_chamomilla/Matricaria_chamomilla_112668.jpeg,No,Yes,Yes,2.3927707341712345
